Job number,Brand,Project title,Project description,Client,Start date,Delivery date,Actioned by,Comments,PPI job reference
274,Kings,LA Banner,Physical banner to advertise Kings LA,KH,21/02/2011,28/02/2011,EC,,
275,Kings,Britannix advertising material,Advert for Britannix quiz and winner certificate (x3). See Olya email for details.,OG,22/02/2011,11/03/2011,JA/EC,,
276,Kings,ESL powerpoint,new for 2011,AH,22/02/2011,11/03/2011,JA,,
277,Kings,LTM digital Ad,PDF ad to tie in with launch press release,AG,23/02/2011,23/02/2011,JA,,
278,Kings,BEB flyer,"Two-page A4 flyer, dual branded for local print. All courses, locations, etc.",JF,24/02/2011,19/03/2011,JA/EC,,
279,Kings,LA promo flyer,KH reuqested promo flyer to launch LA college,KH,25/02/2011,04/03/2011,JA,,
280,Kings,LA homestay flyer,Flyer to recruit homestays plus updated branded docs,AM,28/02/2011,04/03/2011,JA/EC,,
281,Kings,Saudi Arabia newspaper ad,"Small ad black and white, similar to job 259",AH,28/02/2011,01/03/2011,EC,,
282,Kings,Ukraine catalouge ad,"Full colour A4 ad, based on 226",OG,01/03/2011,01/03/2011,EC,,
283,Kings,Under 16 flyer in Chinese,Translation and typsetting of U16 flyer for print in China,AH,14/03/2011,21/03/2011,JA,,
285,Kings,Accommodation factsheets,,AG,16/03/2011,21/03/2011,JA,,
286,Kings,LA School e-mail flyer,One page PDF for promotion of LA school,AG/JF,21/03/2011,21/03/2011,AG/EC,,
288,Kings,E-mail Newsletter header,Image based header for an e-mail to agents,DF,23/03/2011,21/03/2011,EC/JA,,
289,Kings,Updated contact sheet,Image and contact details for Kings staff in a nice PDF,AH,,21/03/2011,EC,Waiting LA protraits,
290,Kings,Kings London Location Marketing,Maps to show the location of Kings London,NA,30/03/2011,21/03/2011,EC,,
292,Kings,GEN ad China,Ad for directory in China,AH,31/12/2011,01/04/2011,EC,,
293,Kings,British United entry,,AH,31/12/2011,03/04/2011,AG,,
295,Kings,Vietnam ad,"A4 ad focusing on academic results, A-level ranking,long history and teaching quality. feature courses and locations (inc LA).
For translation.",KH,05/04/2011,04/05/2011,JA/EC,,
296,Kings,LA local campaign,Materials for walk-ins and local recruitment inc guerrilla type material,AM,06/04/2011,12/04/2011,JA/EC,,
297,Kings,Social marketing campaign,Ongoing strategy to improve our presence on social marketing.,AG,06/04/2011,11/04/2011,JA/EC,,
298,Kings,LTM July 11,,AG,07/04/2011,13/05/2011,JA/WMS,,
299,Kings,Boston Academic mini-brochure,Academic flyer for short-order Boston requirement,AG,11/04/2011,28/04/2011,JA/EC,,
300,Kings,English brochure 2012,,AG,,28/04/2011,JA,,
